cement,Flyash ,Slag ,Water ,Superplasticizer ,Coarseagg,Fineagg,CuringDays,Porosity,Strength,Total_cost
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,28,6.09,24.59,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,28,9.05,24.49,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,28,10.03,25.61,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,28,7.47,26.09,7065.357437
177,0,118,206.5,0,1037.775562,860.7244382,28,6.55,61.62,7419.302079
591,0,0,206.85,4.099999854,1007.713966,590.3360337,56,2.55,66.7,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,56,2.72,65.01,9687.859338
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,56,2.4,63.76,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,56,2.7,45.84,10791.57941
414,0,0,207,0.400000176,1023.404967,755.1950326,56,4.93,47.27,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,56,5.47,49.05,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,56,5.18,48.48,8190.702713
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,56,6.12,25.31,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,56,7.66,28.09,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,56,8.67,28.25,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,56,7.13,31.2,7065.357437
